feature,benefit
a smart thermostat ,i can better regulate the temperature in my home
a built in noise machine with many different sounds,I can hear any type of noise I'd like from anywhere in the house
wireless phone connectivity throughout the house,I can communocate easily and seamlessly
a self sustaining greenhouse,my plants will always be taken care of and watered properly
I want a lawn that will absorb all dog poop,People with back problems will not have to bend to pick up feces anymore
a smart system that detect drain clogs in my septic,I know when its clogged and can fix it before it gets worst
to be able to contact my wife when i am out at any place inside the house,i can reach her promptly in case of an emergency
a touch screen calendar built into the wall,"I can easily track my schedule without paper, pens, markers, or messy dry erase markers"
notifications of neighborhood emergencies,be prepared if there is a need to evacuate
refrigerator that keeps count of what's inside,I will always know when something is running low
a device that will style my hair for me,my hair will look great all the time 
my home to keep track of the data from my heart monitoring system ,me or anyone at home can access that information
a system that notifies me when I'm using too much energy,I can save money on my monthly light bill
programmable appliances,I can hit a recipe on an appliance amd it cooks
to be able to interact with my pets when away,i can make them feel better while away
An alarm system that will warn me when my toilet is about to get clogged up,People can assess the problem before the clog happens
my smart home to start slowly rising the blinds and playing soft relaxing sounds about 20 minutes before i have to wake up,i wake up more rested and not as abruptly as with an alarm clock
My tv to shut off at a certain time when my kids watch,My kids dont spend all day in front of a tv
My indoor wifi to shut at certain times of the day,My kids dont get too caught up on the internet life
"I would like a system to alert me of the weather, time and such",I don't have to grab for my cell phone 
"stay connected, so it would be wonderful if all my social networks could be accessed across the home with lets say a finger print  and only while my phone is connected to the home's wifi network","i can access all my social media, email and messages from anywhere in the house without having to carry my phone "
a security system that tells and tracks who is entering my home,I can keep my home secure
a maintenance monitor,I can track items to fix or change
the home to track where i am and if i leave a room i want the music to follow me through the house,i can enjoy my music wherever i go 
A device that i can bring to the grocery to tell me if cettain fruits are ripe to eat,I dont keep buying fruit that will take days before consumable
the ability to grant a single use code to open the door even if i am not at home at the time,if my kids forget their keys ill be able to let them in
separate TVs controlled for individuals in the house,programs can be recorded and reviewd in multiple locations
A trash can thay absorbs all the foul smell,I do not have to worry about guest or family complaining about the trash can
message monitors,I can send notes to monitors in the house remotely
A gaming console that will only operate under parents commands,"My kids will do whats important first, before playing"
external mositure landscape monitors,I can program watering based upon moisture content
to be able to know the scores of each game,I can be up to date with what's happening
multiple heating/cooling zones,I can heat only what I need to use
a self cleaning bathroom and kitchen,I can spend more time working instead of cleaning
multiple music zones,each family member can choose there own music
wifi sensors for outlets,so I can turn off items that Im not using
A vacuum that will tell me when the floors are 100 percent clean,"I dont have to worry about my kids crawling, rolling on the floors"
a system that tells me how many hours I'm working and per hour rate,I can know how efficient Im being
smart locks on all doors,I can protect my home for who is coming in and out
"fire sensors to be linked to the fire suppression system, to be activated when a fire occurs",i can protect my property
"household cameras to detect when I leave the house, and activate recording",I can protect my  house while I'm away while not recording private activity
the TV to detect weather alerts and automatically turn on the TV and turn to the weather channel,I can be aware of emergency weather conditions
"on stock alert levels, displays to be activated showing current market activity regarding the specific stock",I can get immediate information on a specific stock
lights to be activated and de-activated as I enter and leave a room,I can save energy
"displays to be activated and deactivated as I move rooms, showing the channel I'm currently viewing",I can continue to watch TV as I move through rooms
the alarm system to automatically activate after all registered people in the home have left,I can secure the household
a smart garage door opener,when i pull up on my motorcycle it senses the bike and opens the door automatically without me having to get off the bike
medical sensors to detect when a life threatening medical even occurs (heart attack) and notify emergency services,I can survive a life threatening event if I am unable to call for assistance
smart doggie door,"when my dog approaches it, the collar is sensed and allows him entry but locks afterward"
heat and air conditioning to activate and de-activate as I move from one room to another,I can save energy
a smart shower which signals when i pre programmed temperature is reached,i dont burn myself or walk into a cold shower or waste water
smart radiant floor heating,as i walk into a room only that rooms floor heating is engaged
smart water sprinklers,they only turn on when they sense that there has been a shortage in natural water fall
sensors to detect a break-in and automatically close and lock the doors of the room containing intruder,I have time to take emergency action when a break-in occurs
a smart mailbox,i receive smart phone notifications when mail is placed in my box
a smart desktop and monitor ,when i enter the room the computer automatically wakes and turns the monitor on and when i leave for an extended time automatically puts the computer into sleep mode and turns the monitors off
smart locks,like a car key fob doors lock and unlock depending on the proximity of the key i keep on my person
biometric controls on locks,"i have greater security for my home and convenience, i can never be locked out again"
smart vacation lighting,when i am away the house knows my typical lighting habits and continues those while im away to keep would be intruders deterred
outlet timers,I could turn on certain light decorations at night and have them turn off in the morning
humidity sensors ,my humidifiers function more accurately in the basement
music sensors,I can play music on the house surround in any room by stating a request
thermometer that's aware of the daylight,"it lowers the temperature in the house when sunny out, or raises it when it gets dark"
motion activated alert system,I am aware whenever anyone is at my doors
water amount alerter,I am aware of how much water I am using at a time
remote access to fire alarms,I am aware if my fire alarms go off while I am not at home
remote light access,I can turn my lights on or off for my cats when I am not at home if it gets dark or daylight
energy alerter,I am aware of how much energy I am using in the house at a given time
remote access to outlets,I can turn them off to avoid energy vampires
"The sprinkler system to not only be timed, but to only go off depending on saturation",water can be conserved
Heat in each room I am in to be set at 70 degrees,I am comfortable at all times
"a unit that will control the lights, sounds, temperature and entertainment devices in the house",I can easily control everything in the house
to recieve a text message at any point during the day when my electricity and water usage exceeds an acceptable level,my utility bill isn't unpredictable or greater than i'm willing to pay 
security windows that will change transparency and darken while I am away,my house will be more secure to thieves
my water heater to turn on at 3 am monday through friday,Have hot water ready for my morning shower at 330am
"my TV to be able to judge my mood that day and be able to play what will interest me most,",I will be able to relax easier at the end of the day
my windows to be open whenever the weather is temperate (between 60 and 75 degrees F),I can automatically breathe fresh air when it wouldn't be extremely costly to do so
the option to unlock the front door from an app or remote when visitor has been verified from an auditory system,I do not have to walk to the door to let in a welcomed guest
"my kids monitoring system, during nights, to check weather they have a sound sleep",it helps me to understand their mental and physical health
something in the kitchen to track my weight and calorie intake,I can keep in shape
an oven that will learn when I am home from work and turn itself on to warm my dinner,I will not have to worry about it aftera long day
"Alarm clock to turn the light lights on, slowly increasing the amount of light",Am woken up slowly
the speaker system to detect different moods to change music accordingly (if playing),I can enjoy the right music at the right time
My refrigerator to notify me on my smartphone that its stock needs to replenished,"So that I could stock it up with the things I needs most, and never run out of the same "
kitchen safety system to get automatically on after 10:00 PM,my kids as well my total family is safe during nights
sensors on the doors and windows,we know when someone is entering the house
my smart home to open the back door whenever it detects my dog's presence for longer than 3 minutes,my dog is able to relieve itself outside without a long waiting period 
Smart receptacles that stop the flow of current to plugged in items when not in use,electricity is saved as well as money
The outside lights to come one when I arrive in the parking lot,I have the added security when i arrive home
doors and windows to be shut after 10:00 Pm at night,we are safe at home from theft
to recieve text notification of new movies that match my viewing criteria are added to an online library,I can stream the movie at home
a washer/dryer combo that will be controlled by my phone or mobile device to do my laundry at set times,I won't have to worry about it
a door that will allow my pets to go out or in by recognition,it will prevent other unwanted guests from entering
my smart home to alert me whenever a presence is detected on the downstairs level when I've recorded that I am upstairs for the night,I can feel safe living alone and know if an intruder has entered my house 
a sensor to tell me when and what my lawn needs to be healthy,I always have a nice lawn
all power usage to be turned down when no one is home,the wasteful use of energy 
"a SMART Home option that will allow my pet to walk to the door, bark, and a dog door raises to let them out",it will keep unwanted animals from aimlessly wandering into your house
"a crib that will sense any disturbances in my baby's sleep, including crying or needing a diaper change",I will know my baby is resting comfortably
a shower that will adjust the water temperature automatically to preferred temperatures,"depending on the room's temperature, the water will be just right"
to be alerted to any intruders to my property,I can be safe in my home
"blinds that are powered by the sun, that open when it is sunny, and close when it's dark",I can save electricity from constantly keeping the light on
my system to make sure the overhead tank is not empty,we are not bothered about the water level 
have a voice feature connected to my surround sound system at home that reminds me to exercise ,i stay on track with my fitness goals 
to be able to view all my homes systems from my smart phone,I can adjust these setting from anywhere
my smart home to close off certain regions of the home while watching children by automatically moving sliding doors,the children will remain safe and contained while playing within one area of the home 
smart box to manage internet cabling,I can change how the internet is wired in the house
"my smart home to sense when the soil in the front and back yards are are dry,",it can turn on and off the watering system according to specified seasons and temps to save water and energy
to be able to monitor my home while away,I can check that things are okay
a feature that will scan my toothbrush and remind me when to replace it,I won't forget
Cameras with recognition,any unrecognizable guest appearance will have a photo sent to my phone and/or email
understand the calories of food taken by my kids,it helps me understand their requirement and as well check with their health
the option to activate the opening and closing of window curtains by using a remote or smart phone application,during the day the blinds can be open and closed when necessary without having to manually open and close them
to recieve text alerts if i leave my garage door open after leaving,I dont leave my garage door open unknowingly
My medicine pill holder to notify me about the pill that are going to expire,So that I can replace the old one and purchase new one
safety outlets,to prevent my nieces and nephews from getting shocked
I want a device that regulates the water flow of faucets and toilets,I can save water
"my water sprinklers to automatically water the plants at home,",the moisture in the plants is well maintained all the time
my smart home to play a specific playlist or genre of music when I verbally tell my sound system what mood I am in,I can enjoy mood appropriate music throughout the house 
Smart sender bell,When I came to home the door identify my finger print
"electric blanket to be turned one 30 min before I go to bed,",it is warm when I get into bed
"monitoring system for my television, about which channel are preferred by my kids",to understand the interest of my kids
"my smart home to learn when I am not around and to turn off unnecessary items like TVs, coffeemaker, radio, etc",it will save me on electricity
My medicine pill holder to notify me that new pills need to be purchased,So that I can purchase new pills
a device that can protect my airspace from drones,I can feel safe in my privacy
the deviation in temperature of my kids at home,understand well about their health
my smart home to turn on fans automatically when stagnant air is detected ,I can experience proper air flow and reduce discomfort 
to have my heat turn itself on if the temperature outside dips below a certain level,when i come home its warm
a sensor in my children's play area that will sound an alarm if someone is hurt,I may rest easy knowing that my children are safe
smart thermostat,the temperatures in each room stay regulated at all times
"my child TV to automatically turn off a set time, ",so they don't watch too much TV
a roof made of solar panels that functions as a roof and an energy source,I can save electricity and money
a smart detector for lethal gases or smoke to go to my email and/or phone,even when I am not around I will be notified immediately
database of my husband's blood sugar and pressure ,i can help him keep his health appropiately
Smart camera gps,I can seen where my child is
"a speaker at the door that asks a person to name himself before he rings the door bell,",I don't need to always see through the peephole
remote smoke detectors,we will be alerted if they are triggered
the temperature to be adjusted in individual rooms,I don't have to wait to heat or cool the whole house and waste time and money when there is only a few people inside
my smart home to alert me when a single electronic device or source is requiring a significant amount of electricity ,I can reduce or eliminate unnecessary electric bill costs and save energy
a sensor that will sound an alarm if my dog escapes through the fenced backyard or something happens to hurt my pet,I will be confident they are safe outside
fire place turns one when I get home from work,it will be warm and relaxing after work 
a pet bed that will automatically warm or cool depending on the temperature of the pet,my pet will always be in comfort
"My door cam needs to notify me when this is unusual activity outside, example more than 3-4 person approaching the house",so that I am vigilant about any dangers
the temperature of the house to be maintained and as well inform on the temperature outside,my family people health is kept at control
a device that keeps track of maintenance issues around the house,"I know when I may need to replace things such as water heater, roof "
My fish tank needs to monitor and notify that  ample fish food is present in the tank,So that I can refill the stock
automatically closing curtains or blinds in areas where I might be changing or bathing,I will know no one is peeking in
interior motion sensors,if door and window sensors fail we will still be alerted to activity in the home
"a stove that has a screen with built in recipes, can add recipes, and automatically preheats and times the food by recipe","I don't have to use a book or laptop, and the stove can program the time and heat itself"
"smart sensor that automatically detects my pet's location in the house,",I don't need to always watch out for her whereabouts
i want to understand the temperature and blood pressure of my family members,which would help me to understand their mood swings
My fish tank needs to monitor and notify that  if there are any dead fish,"So that i can replace it, and clear the tank "
Paint sensor,So it can notify that my house needs some paint or maintainance
my smart home to have motion detecting lights in every room to be at full light when I am present and dim after I have left the room ,"I can experience well lit rooms but not have to worry about turning on or off the lights, while being energy efficient "
a device that can monitor my well being and health,I will be alerted to changes in my health
a wall feature that the pet can come to for a video call,I can see my pet whenever i am out of the house
my things in home to be safe  and turned off all lights,make safe of all my things on home and live safe
answering machine to play message when I walk into that  room,I don't miss anything important
my fridge to identify my children by age and height and have a pre-prepared snack ready in a door for hem,I know they are eating the healthiest snacks possible
auto vacuum,it will keep the floors clean at all times
a device that show me deficiencies my home may have in it's efficiency,I can be more energy concious and efficient 
Smart ac,When I came to home according to outside environment it got adjusted automatically
a smart computer that changes its setting according to the person who uses it,I don't need to put up parental settings all the time
to have the option to turn on digital electronics from a centralized CPU,I can save time and hassle when looking for remote controllers
"The electric switch should automatically  switch off lights, fans and TV when there is no one at home",So that I save on electric bills
my smart home to allot food to my pets in relationship to their tracked expended energy as determined by their collars and movement,my pets will receive more food appropriately when they have been especially active and will be hungry 
automated food and water dishes,my dogs will have food and water at all times
Smart tv,That can run with voice
to recieve text notification if water continually runs after a certain number of minutes,i don't recieve an excessively high water bill
added motion security to the perimeter of the yard,anyone who is approaching will notify me in case they are unwanted
a voice activated remote for the TV that can change channels using your voice or beep when misplaced,"if it gets lost in the room, you can still use it by saying a channel number or using the locator"
the ability to analyze energy consumption by CPU or smart phone,I can determine which rooms and devices are consuming the most energy
"smart tag that I can attach to my car keys,",I don't need to search for them when they are lost
Sensor,When I touch it it can calculate how many people are inside the room
recieve calendar/updates updates speak through my surround sound system,i dont lose track of time and miss appointments
my smart home to make available premade healthy snack options to my children after school,"my children may readily have food to eat when hungry, but not be able to eat the unhealthy options if not supervised "
"geyser that automatically adjusts to optimal temperature settings,",I don't need to worry about burning my skin
to cut off water flow ,water is saved and power consumption
an automated wake up call to my cell phone,"it can get me up and have the coffee start to brew, temperature adjusted, car started, etc to save time in the morning getting ready for work"
"artificial, self cleaning pet area","during long work days, the puppy has a place that can be used like outside and then it is robotically cleaned"
a drawer in the fridge with a setting that makes fruits and veggies stay fresh for longer,I can eat them all before they go bad
Smart watering ,If I am outside water plant on some specific time
My WiFi router to notify me on my smartphone if someone tried to unauthorizedly access it,so that I am safe from hackers and intruders
"an auto-eject feature in my car,",I am automatically ejected from the vehicle if something hits it
to have the option to dim tinting on windows using smart tint digital technology,I could do away with blinds and still control light penetration
my things in home to be safe  and turned off all lights ,make safe of all my things on home and live safe 
Smart alert,I can know my child is present in class
to have recipe tutorials viewable through my tv at the time i usually prepare dinner,i can receive instruction to try new meals 
"automatic windows that open up by themselves each morning,",I don't need to open and close them manually everyday
Feature to notify health issue,I can detect do I need medicine
a device which automatically monitors and sweeps the floor,so that my floor remains clean
the refrigerator to remind me went we're low on a certain item(s),we can stop and get it on the way home and save trips to the store
Food making machine,so that I can use an app and send instructions on a pre-selected list of dishes
automatic recorder that records all my conversations and automatically picks up the thing-to-do,I don't need to keep reminders
heated shower curtains that keep the steam/heat inside the shower,I'm not cold too quickly when showering
Locker,That nobody can open except me
to watch different channels at same time with time change,watch more channels with more peoples on their choice
to recieve voice commands set to tell me how many calories my dinner can consist of,i can meet my daily calorie consumption target
to have standard automatic floor cleaning,housework can be kept up with minimal effort
to check my food to be healthy and things which we buy is organic,it makes us healthy
a sensor for my house piping system that detects chokes and calls up my plumber,I don't need to worry about the drain choking at home
push to open doors,I can mash a button and have the door open when my hands are full
to remind me when the birds needs to be feed,so that they do not starve to death
an auto door lock feature to lock my front door if i forget to lock it when leaving home,i can lock my home when i'm not physically there
a garbage can that permanently masks the smell of garbage by deodorizing,it smells nice
all the doors in the house to be under surveilance if no one is home,if someone breaks in it could send me an alert and have video evidence of an intruder
to attend my phone which i kept inside home where i was in other place,it makes easy if we miss to take it urgent calls
"my smart home to alert me when I get mail inside the mailbox, and how many pieces there are",I can see when I have mail
to lock and open my home when i was not there,it makes our family members to go inside without keys
system to monitor my parents health,to help them maintain their health
a laptop that opens most used programs every time it is turned on,I can save time
Need to technology to understand the change in behaviour of my aging parents,to support them mentally and physically
to have monitored the beverages and foods my guests have the most,I can easily buy more for the next time they come over
my home to be clean and fragrant when i was not there,it makes feel better when we return from some journey
a coaster that keeps my beverage cold as if there was ice in it,It can stay cold and I won't waste more water by refilling with ice
"to understand the requirement of my kids, since being at office most of the time, I have less time to spend with them",I can help my wife to groom my kids
to keep all my things where it placed previously,it makes room clean
"have a closer look at the kids internet surfing , timing, interest",they dont get into wrong sites and get corrupted
to have a monitoring system for my kitchen equipments,it helps my wife to be safe
"a coffeepot that automatically makes coffee at 5AM, adds sugar and cream",I can wake up to a nice cup of coffee
to have the fridge look up the caloric and nutrition info on remaining foods in the fridge,I can know what to avoid for the day/week
"understand the health of my aging parents, like BP, sugar",I can help them to keep their health properly
security system to alert me of unknown people getting into my house at my absence,to safe guard my family members
to know if there have been unusual movement patterns in the house that might indicate a trauma,help could be provided as soon as possible
"I want a refrigerator that automatically monitors and purchases groceries that are low,",I can save time from having to shop
to remotely set up playlist of movies to watch on TV when we get home,we can just sit down and relax together with little effort
understand the entertainment activity of my kids,I can get them the best that is required
media devices in the house to be incorporated into a single ecosystem,"I could be on top of news, events and entertainment all the time"
understand the mood swings of my kids,I can help them focus on their studies and good health
"a home that monitors my gym membership activity and reminds me to work out,",I can stay motivated to work out
My Smart Home to notify when I need to buy favorite foods ,I may purchase the before I run out
a monitor for the front door,I don't have to get up for those annoying witnesses or charity drives
"my electronic items to be periodically noted, as it might cause injury to my family members","I can change it or service it at appropriate time, make things for safety"
house equipment to automatically report malfunctions,repairs could be delivered quickly
"lights in the house to adjust to specific presets based on the time of day, outside illumination and activities taking place inside the house",I could conserve energy
My Smart Home to turn on/offlights at selected time,it may appear I am home
"childrends bedroom that automatically plays and doesn't play soothing music depending on if child is or isn't asleep,",my child will fall asleep easier
my medicine cabinet to show me which medicines and drugs should not be taken together or may have expired,I don't risk unwanted side effects or health complications
to be able to call the police by voice command,I could call help when i can't reach other means of communication
"house that records my favorite tv shows for me if I am not sitting on the couch,",I don't have to remember to schedule a recording
"a toilet that will use less or more water depending on if I go number 1 or number 2,",I can have a lower water bill
miniature robots to periodically vacuum the house,the house always stays clean and hypo-allergic
my cleaning devices to run when electricity prices are at their lowest,I may save money & not overtax the system
the home to dynamically adjust temperature of the ac system depending on occupants' presence in certain areas,the air temperature and humidity are always comfortable within the house
home that will notify me by text message when my dog is barking,I know about any potential intruders
my TV/audio system to play my favorite news programs in various media ,at desiginated times so I can stay informed & remember it in various ways
the windows in the kitchen have a transparent display for news and outside temperature,I could get an update on news and weather in the morning
the smart home to call the police if there has been trespassing while the owners are not at home,the residence and possessions within it remain safe
feature that will interect with my dog for an hour each day,so that my dog  will be  happy & engaged when I'm away from home
the fridge to be able to automatically restock itself based on a pre-programmed schedule,I could always have a full stock of my favorite groceries
home that turn off a power outlet when it senses that a plugged in device is fully charged,I don't have to remember to unplug a fully charged device
home that will auto cast music to different rooms when I go from one room to another,I can continue to enjoy my music while I move around my home
a device that monitors basic health information when I am at home,I may be aware of any changes
home that will notify me if the stove or oven is on with no one in the home,there will be no fire hazard
my Smart House to bark loudly at randon times when I'm away,the neighbors/looters think I am inside
a mail box that will automatically lock itself after the mail has been deliver,my mail cannot be stolen
My Smart Home to update me when asked about my energy consumption,benefit by knowing how I may change my usage
my Smart Home to have an excellent taste of music,may dance & be happy at home
my Smart Home to have many accents to talk to me in,"I may benefit from the presence of a Britt, Kiwi, or something just seductive"
Alarm me whenever pets leave designated spot,I know when my pet runs away
to know when there's water running,I can turn off water and save
an alarm system to alert everyone whenever it's time to eat,not inform everyone
to turn on and off electronics in the house,I can make sure when to conserve energy and make sure everyone goes to sleep on time
an alarm that will sound my room really loud,I can wake up on time regardless of how I feel
a headcount of how many people come and leave the house,I can keep up with the security in the house manually
to be notified when someone is somewhere in the house where they don't belong,I can protect certain belongings
a location finder for items,I can find whatever important I need whenever I forget
a energy consumption detector,I can see whoever is using too much energy
a voice detector for whenever someone screams for cry of help,I can alert the police or authority whenever I'm not at home
my tv to send a notification to my phone to remind me when my favorite show are returning for a new season,i dont miss the first episode
to know when my fridge is running low on everyday essentials by sending me a message to my phone,i know my family doesn't run out of food that they use daily
to know how long my air conditioners been running each day by sending me a message to my phone,i could keep my energy bill in check
my kitchen stove and oven to notify me via text when i accidentally leave it on when im out the house or asleep,i could keep my family safe and not burn down the house
my to be notified when i have scheduled medication to take give the kids or myself when feeling sick,i dont forget to miss a dose and risk not feeling well longer
my music device to notify me when my favorite artist release new music,i could keep up with their latest music and download it
my smart home to notify me when my smart phone is full charged,i could remove it and not risk burning out the battery or wasting unnecessary energy 
my laundry dryer to notify me when my clothes are dried even when it is still running,so i could remove them and not have to have the dryer running when it is not needed so i could save energy
my windows and doors to be locked in accordance with my (or family members) voice 'LOCK' and 'UNLOCK',my home can maintain privacy and safety
to know how long my shower been running each day while my family and myself use it,i could save water and limit the usage and play my part in helping the environment
my tv to notify me how long my children spend each day watching their favorite shows,i could limit their viewing time and make sure they do other things more productive like exercise
a internet radio streaming live broadcasting world wide to play according to my voice,I can enjoy my favorite music and play
an automatic shower,it comes on the same time I wake up so I can just walk in
automatic gas fireplace,I don't have to get up from the couch to turn it on
"to show the food calories, vitamins etc in our family food taken",I am aware of correct nutrition level
automatic stove,I can turn it on when I am at work
an automatic clothes washer,"it can start on it's own, on a set schedule"
my pets to be watched over screen and to know the necessary foods available for them,I can keep them healthy
room senors,"the second I walk in the room, the lights and tv can come on and my laptop will boot up without doing anything"
automatic lawnmower,it can cut the grass itself without anyone doing it
a bike which runs in herbs oil (not petrol/diesel),global-warming should be less and no co2
automatic toaster,it can cook my toast before I wake up
automatic toiletseat,"once I walk up to it, the lid opens and when I am finished, the lid shuts and flushes by itself"
my dirty clothes clean without water and detergent powder,water can be saved
automatic meat dicer,I don't have to cut the meat and do a lot of work in the kitchen
an automatic trash can,"once it's full, it will alert me and will tie the bag shut by itself"
"my children away from water, pit, pesticide and other poisonous things",I am aware of  my children safety
my house lights and lamps got lighted from solar energy only without electricity,electricity can be saved
an object replaced by Fans to be produced (breezing ) cool natural fresh air,I can save electricity and to be healthy
"a mirror that shows weather reports, daily to-do listings, reminders etc using Glass technology","I am aware of my daily programs, forecast etc"
voice-activated lights,I can turn on and off the lights wherever I am in the room
an alarm to go off whenever someone who is under a certain height goes out of the house,my children will be secure
an automatic pet feeder,I won't have to take note of the time my pet last ate
"to have changing ambiance ""scenes""",we will automatically have different themes for different events or parties
automatic security gates on staircases,it will automatically put up security measures when my child comes within a few feet from the stairs
an automatic solar panel,it will automatically switch all electrical consumption to solar and store energy during the day
an automatic air conditioner that would detect when I am nearly home and automatically turn on,the house is already comfortably warm or cool when I enter it
a security camera and a siren which can be remotely monitored,it would be good for chasing thieves away
"a device that can be tagged to keys, pets, phones, etc","if they are missing, I will be immediately informed and be able to locate them"
my appliances to send an alert when it needs cleaning or repair,it will be immediately notified and have it repaired
my tv to tell me when new movie releases in my geners are released,i can keep up with new movies
all the lights in every room to turn off at 11pm,we don't waste electricity and can sleep in peace
windows that open with smartphone,so that i dont have to do it manually
sensors around house to tell me when someone gets within 10 ft of house,i can keep my family safe
something that automatically vaccums,so i dont have to do it manually
the front and back doors to automatically lock after 6pm,if we forget to close them we don't have to worry about burglars
my safe to alert my phone when someone tries to open it,i can know if someone is getting in
opens doors by fingerprints,so that i dont have to do it manually
"something that cleans, dust",no manual labor
my phone to tell me the temp in my house and allow me to adjust it,i can keep my bill lower
my smartphone to have an app to show me video of the baby room at all times,i can always check on the well-being of my infant
a device that monitors the last time someone did a chore,I don't have to keep track of it
something that cuts grass,i dont have to do it manually
my medicine cabinet to remind me to give children medicine,i don't forget to give them vitamins
a device that tells me what devices are taking up the most energy,I don't waste energy
all my electronics in the living room to turn on when i open the front door,i dont' waste time turning everything on manually
something that prevents sun from coming in windows,so no sun pentrates
a medice cabnit that locks and lets me know when someone tries to open it,pills can not be misused
sprinklers that come on automatically and consumers water,so i dont have to do it
my house to turn off devices that haven't been used in a certain amount of time,I don't waste energy
something that turns my tv on at a certain time of the day,so i dont have to do it
cameras that turn on when they sense movement,trespassers can be identified
automatic shower heads turning on at a certain time,enables it to get hot
to send grocery list from fridge to phone,i wont forget my list
turns fans on at a certain temp,dont have to do it manually
a water guage,I can keep track of how much water has been used that month
to control tv consumption from my phone,my kids cant watch all the time
my home to adjust the lighting on my computer and television screens according to the amount of light in the room,straining in my eyes are reduced while I am working or reading
to shut off all phones in the house at certain times,i can control media usage
a loud speaker system,I don't have to yell 
my phone to tell me when someothing is wrong with the electrical system in house,i can get it fixed
reminders to pop up after a certain amount of time,I don't forget to do my work
my phone to alert me if the dog leaves the premise using a sensor on the dog's collar,i know if the dog has escaped the area
the temperature to always be changeable via a phone app,i can have all thermostats change to a specific temperature using just one device
my home to adjust the air flow and amount of humidity,I can do things comfortably in my home without getting overheated
the ability to remotely unlock the house,if someone forgets their key they don't have to break in or wait
an app to turn off the stove in case i'm not home and i forgot to turn it off,i won't cause a possible fire and waste energy
a device that tells me when my pet gets into a room or something they're not meant to be in (ie the trash),I can get them soomer
a rotating closet rack,i just think it would be cool
my home to tell me when there is spoiled food in the refigerator,I know when to throw out food
an app which shows video of who rang my doorbell when i wasn't at home,i can see who stopped by when i wasn't home
an app that tells me if my child gets near a dangerous appliance like a stove,safety for my child
my home to record television shows I missed while I was away,I can watch them when I have free time
a sensor to go off if my child tries to open an electrical device ,my child doesn't receive an electric shock
my smart home to set alarms to remind me when to take medicine,I don't forget to take them
my smart floor to alert me when ever my child keep non eatable item in her mouth,I can rush to them and stop her before putting it in her mouth
my smart home to contact the police if anyone has broken into my home,my home can be protected while I am away
my home to keep track of where my pet is,I can find them if they run away
my water tank to make an before getting emply,I will start to refill my water tank
my home to play white noise while I sleep,I can rest better
my smart music system to recognize my mood when I enter home and play a song to that ,I can enjoy or I feel to be alone with the song 
my home to turn on my coffee pot and make me coffee 10 minutes before I wake up,I can drink it as soon as I am awake
"my home to turn off the television, mobile phones and computer until my children are done studying",my children can finish their homework without distractions
stove fans to come on automatically,the level of smoke from cooking is maintained 
Stay distance the computed equipment from pets,"They protcted, and second one it was safe to computed system"
"my smart mobile to send me an SMS when my child is not feeling well, when I am in office",I can rush or alert my family doctor to attend them
my smart home to alert me when some enters the building i live in,so i know when someone is coming up the stairs near my apartment
the wifi to turn off at bedtime,my kids wont be using it too late 
my smart home to let me know if water is running when an area isn't occupied,I can save on water costs
my smart home to alert me when my dog enters a room,so I know where she is
the beds to warm 10 mins before I enter,i wont have to feel cold sheets
my smart home to turn off appliances (tv/computer) when a room is empty,I can save on electricity
the heated floors to turn on 30 mins before my alarm,they only turn on when i need them
my smart home to alert me when a burner is on in the kitchen when it is unoccupied,prevent a fire
my vacuum cleaner to clean to floors at a particular time daily or as I Program ,my house will be clean 
"Auto volume control when vetting out from my room while listening ,and auto increase when enters , switch volume and song changes with my words","Easy touse , feel lively while listen music "
the coffee machine to start 5 minutes before my alarm,it will be ready to drink when i get downstairs
my smart home to record shows I watch without having to pre-program them,maximize my entertainment
my smart home to alert me when someone is in the medicine cabinet,protect my children from taking medicines by accident
the windows and doors to lock automatically after 10 pm,"when i forget to do it manually, I know I am safe "
a soil monitor,I can be alerted when my plants need watering
"my smart home to alert me when the oven is on, but there isn't anything in it",avoid a fire or gas leak
to be alerted when I have mail,I know when to check it because I don't always receive mail
smart home to send a picture to my phone of anyone standing on my doorstep,know who is visiting me before I choose to answer the door
automatic lights which turn off when I leave a room or only turn on when ambient light is low,I can save everygy
to be alerted where my children are when i am not home,i know that they aren't getting into trouble or doing things they shouldn't be doing
to control fireplace from my phone,make my life easier
"Auto temperature system that was bonded with outside climate and it was suitable the body needs like hot in winter, cool in summer with high techinical system","It helps to gain health  , give comfortness "
scale and other sensors builtin to the shower floor with displayable metrics,everyday I can monitor my weight and pulse in a way that makes efficient use of my time
an all room speaker system,speakers turn on when I enter a room and turn off in the room I left
the front door to lock automatically behind me,i know everyone in the house is safe
my smart television to play song which I sing ,it will keep me enjoyable
automatic locking doors,doors will lock automatically but unlock when I touch the knob via fingerprint sensor
to see what channels are being watched through my phone,I know my kids are watching appropriate channels
a system that will turn on televisions to the current channel when I enter a room,I won't miss anything when watching a game
